"breedtegraad,""lengtegraad"",""CO2"",""CH4"",""NO2"",""NH3"""
0,0,850.32,12.65,207.52,0.1
0,1,850.32,12.65,207.52,0.1
0,2,850.32,12.65,207.52,0.1
0,3,850.32,12.65,207.52,0.1
0,4,850.32,12.65,207.52,0.1
0,5,149.45,3.87,31.32,0.02
0,6,107.56,2.41,41.78,0.03
0,7,178.64,3.53,48.43,0.02
0,8,100.12,2.82,40.25,0.03
0,9,145.41,2.78,44.0,0.04
0,10,176.92,2.43,36.36,0.04
0,11,137.51,2.93,35.09,0.02
0,12,137.62,3.23,36.98,0.02
0,13,194.42,3.12,46.54,0.04
0,14,184.45,3.04,39.96,0.03
0,15,113.67,2.22,49.55,0.02
0,16,162.16,3.14,54.43,0.02
0,17,143.51,2.42,57.38,0.04
0,18,173.87,3.5,50.0,0.03
0,19,161.68,2.02,51.37,0.03
0,20,147.04,3.83,44.56,0.04
0,21,169.55,3.11,42.39,0.02
0,22,109.48,3.13,58.57,0.04
0,23,130.95,3.74,41.01,0.03
0,24,173.22,2.14,55.41,0.03
0,25,159.87,3.79,30.55,0.04
0,26,100.9,3.72,56.41,0.02
0,27,197.87,3.31,31.29,0.02
0,28,158.16,2.54,54.99,0.04
0,29,158.51,2.53,32.71,0.03
0,30,155.83,2.09,37.19,0.03
0,31,105.08,3.67,56.44,0.04
0,32,129.4,2.17,49.36,0.04
0,33,105.87,2.26,45.33,0.03
0,34,175.21,3.34,46.26,0.03
0,35,171.94,3.93,39.77,0.02
0,36,150.65,2.95,39.52,0.03
0,37,170.69,2.1,31.36,0.03
0,38,143.45,3.06,58.68,0.02
0,39,126.44,3.15,46.38,0.02
0,40,184.38,3.65,41.42,0.03
0,41,195.39,3.41,46.6,0.02
0,42,162.72,2.21,50.43,0.03
0,43,138.43,3.21,50.7,0.03
0,44,194.98,2.91,54.55,0.03
0,45,130.0,2.12,48.67,0.03
0,46,118.34,2.39,41.72,0.03
0,47,113.66,3.95,51.13,0.03
0,48,108.27,3.14,58.82,0.03
0,49,130.6,2.06,50.97,0.03
0,50,191.26,2.08,46.99,0.04
0,51,142.53,3.25,32.61,0.03
0,52,197.45,3.32,36.36,0.02
0,53,155.68,3.93,31.96,0.04
0,54,145.42,3.15,47.54,0.02
0,55,178.12,2.65,31.2,0.03
0,56,193.6,2.75,44.88,0.04
0,57,115.99,3.89,57.93,0.04
0,58,193.04,3.15,40.63,0.04
0,59,151.99,3.52,42.76,0.04
0,60,161.33,3.57,44.21,0.03
0,61,165.08,2.71,45.72,0.04
0,62,164.9,3.94,45.29,0.03
0,63,111.88,2.81,43.23,0.03
0,64,182.12,3.55,32.05,0.03
0,65,183.69,3.51,53.96,0.04
0,66,182.35,2.15,35.49,0.02
0,67,157.35,3.88,55.41,0.04
0,68,163.61,2.26,50.46,0.04
0,69,178.72,2.07,40.58,0.02
0,70,110.73,3.09,31.36,0.04
0,71,169.5,2.63,35.75,0.03
0,72,192.1,3.62,31.52,0.02
0,73,102.49,2.55,30.47,0.03
0,74,188.8,2.29,46.94,0.03
0,75,130.78,3.77,45.44,0.02
0,76,157.76,2.66,41.18,0.03
0,77,195.41,2.09,48.96,0.04
0,78,129.18,2.49,58.69,0.02
0,79,184.02,3.97,48.31,0.03
0,80,179.74,3.88,59.63,0.03
0,81,103.65,2.76,32.24,0.04
0,82,171.23,3.11,39.46,0.02
0,83,111.47,2.57,51.03,0.03
0,84,168.6,2.69,51.82,0.02
0,85,149.36,3.07,31.12,0.03
0,86,141.0,3.73,39.37,0.04
0,87,153.94,3.62,39.37,0.04
0,88,118.72,3.25,44.3,0.03
0,89,125.3,3.13,55.49,0.04
0,90,160.5,3.45,39.58,0.03
0,91,174.53,3.42,59.91,0.03
0,92,113.44,2.63,31.84,0.04
0,93,111.48,3.52,43.13,0.04
0,94,166.58,3.94,51.94,0.03
0,95,112.77,2.94,55.09,0.03
0,96,125.3,2.12,38.63,0.03
0,97,196.63,2.52,48.75,0.03
